id,region_id,identifier
1,4,canalave-city
2,4,eterna-city
3,4,pastoria-city
4,4,sunyshore-city
5,4,sinnoh-pokemon-league
6,4,oreburgh-mine
7,4,valley-windworks
8,4,eterna-forest
9,4,fuego-ironworks
10,4,mt-coronet
11,4,great-marsh
12,4,solaceon-ruins
13,4,sinnoh-victory-road
14,4,ravaged-path
15,4,oreburgh-gate
16,4,stark-mountain
17,4,spring-path
18,4,turnback-cave
19,4,snowpoint-temple
20,4,wayward-cave
22,4,ruin-maniac-cave
23,4,trophy-garden
24,4,iron-island
25,4,old-chateau
26,4,lake-verity
27,4,lake-valor
28,4,lake-acuity
29,4,valor-lakefront
30,4,acuity-lakefront
31,4,sinnoh-route-201
32,4,sinnoh-route-202
33,4,sinnoh-route-203
34,4,sinnoh-route-204
35,4,sinnoh-route-205
36,4,sinnoh-route-206
37,4,sinnoh-route-207
38,4,sinnoh-route-208
39,4,sinnoh-route-209
40,4,lost-tower
41,4,sinnoh-route-210
42,4,sinnoh-route-211
43,4,sinnoh-route-212
44,4,sinnoh-route-213
45,4,sinnoh-route-214
46,4,sinnoh-route-215
47,4,sinnoh-route-216
48,4,sinnoh-route-217
49,4,sinnoh-route-218
50,4,sinnoh-route-219
51,4,sinnoh-route-221
52,4,sinnoh-route-222
53,4,sinnoh-route-224
54,4,sinnoh-route-225
55,4,sinnoh-route-227
56,4,sinnoh-route-228
57,4,sinnoh-route-229
58,4,twinleaf-town
59,4,celestic-town
60,4,resort-area
61,4,sinnoh-sea-route-220
62,4,sinnoh-sea-route-223
63,4,sinnoh-sea-route-226
64,4,sinnoh-sea-route-230
65,2,blackthorn-city
66,2,burned-tower
67,1,celadon-city
68,1,cerulean-city
69,2,cherrygrove-city
70,2,cianwood-city
71,1,cinnabar-island
72,2,dark-cave
73,1,digletts-cave
74,2,dragons-den
75,2,ecruteak-city
76,1,fuchsia-city
77,2,ice-path
78,2,ilex-forest
79,2,lake-of-rage
80,1,mt-moon
81,2,mt-mortar
82,2,mt-silver
83,2,national-park
84,2,new-bark-town
85,2,olivine-city
86,1,pallet-town
87,1,rock-tunnel
88,1,kanto-route-1
89,1,kanto-route-10
90,1,kanto-route-11
91,1,kanto-route-12
92,1,kanto-route-13
93,1,kanto-route-14
94,1,kanto-route-15
95,1,kanto-route-16
96,1,kanto-route-17
97,1,kanto-route-18
98,1,kanto-sea-route-19
99,1,kanto-route-2
100,1,kanto-sea-route-20
101,1,kanto-sea-route-21
102,1,kanto-route-22
103,1,kanto-route-24
104,1,kanto-route-25
105,1,kanto-route-26
106,1,kanto-route-27
107,1,kanto-route-28
108,2,johto-route-29
109,1,kanto-route-3
110,2,johto-route-30
111,2,johto-route-31
112,2,johto-route-32
113,2,johto-route-33
114,2,johto-route-34
115,2,johto-route-35
116,2,johto-route-36
117,2,johto-route-37
118,2,johto-route-38
119,2,johto-route-39
120,1,kanto-route-4
121,2,johto-sea-route-40
122,2,johto-sea-route-41
123,2,johto-route-42
124,2,johto-route-43
125,2,johto-route-44
126,2,johto-route-45
127,2,johto-route-46
128,2,johto-route-47
129,2,johto-route-48
130,1,kanto-route-5
131,1,kanto-route-6
132,1,kanto-route-7
133,1,kanto-route-8
134,1,kanto-route-9
135,2,ruins-of-alph
136,1,seafoam-islands
137,2,slowpoke-well
138,2,sprout-tower
139,2,bell-tower
140,2,tohjo-falls
141,2,union-cave
147,1,cerulean-cave
148,2,unknown-all-poliwag
149,2,unknown-all-rattata
150,2,unknown-all-bugs
151,1,vermilion-city
152,1,kanto-victory-road-1
153,2,violet-city
154,1,viridian-city
155,1,viridian-forest
156,2,whirl-islands
157,1,kanto-route-23
158,1,power-plant
159,1,kanto-victory-road-2
160,1,pokemon-tower
161,1,pokemon-mansion
162,1,kanto-safari-zone
163,4,sandgem-town
164,4,floaroma-town
165,4,solaceon-town
167,4,jubilife-city
168,4,oreburgh-city
169,4,hearthome-city
170,4,veilstone-city
171,4,snowpoint-city
172,4,spear-pillar
173,4,pal-park
174,4,amity-square
175,4,floaroma-meadow
177,4,fullmoon-island
178,4,sendoff-spring
179,4,flower-paradise
180,4,maniac-tunnel
181,4,galactic-hq
182,4,verity-lakefront
183,4,newmoon-island
184,4,sinnoh-battle-tower
185,4,fight-area
186,4,survival-area
187,4,seabreak-path
188,4,sinnoh-hall-of-origin-1
189,4,sinnoh-hall-of-origin-2
190,4,verity-cavern
191,4,valor-cavern
192,4,acuity-cavern
193,4,jubilife-tv
194,4,poketch-co
195,4,gts
196,4,trainers-school
197,4,mining-museum
198,4,sinnoh-flower-shop
199,4,sinnoh-cycle-shop
200,4,contest-hall
201,4,poffin-house
202,4,sinnoh-foreign-building
203,4,pokemon-day-care
204,4,veilstone-store
205,4,sinnoh-game-corner
206,4,canalave-library
207,4,vista-lighthouse
208,4,sunyshore-market
209,4,footstep-house
210,4,sinnoh-cafe
211,4,grand-lake
212,4,sinnoh-restaurant
213,4,battle-park
214,4,battle-frontier
215,4,battle-factory
216,4,battle-castle
217,4,battle-arcade
218,4,battle-hall
219,4,distortion-world
220,4,sinnoh-global-terminal
221,4,sinnoh-villa
222,4,battleground
223,4,rotoms-room
224,4,tg-eterna-bldg
225,4,iron-ruins
226,4,iceberg-ruins
227,4,rock-peak-ruins
228,2,azalea-town
229,2,goldenrod-city
230,2,mahogany-town
231,1,pewter-city
232,1,lavender-town
233,1,indigo-plateau
234,1,saffron-city
236,2,johto-lighthouse
237,2,team-rocket-hq
238,2,goldenrod-tunnel
239,2,mt-silver-cave
241,2,pokeathlon-dome
242,2,ss-aqua
243,2,safari-zone-gate
244,2,cliff-cave
245,2,frontier-access
246,2,bellchime-trail
247,2,sinjoh-ruins
248,2,embedded-tower
249,2,pokewalker
250,2,cliff-edge-gate
252,2,radio-tower
253,,day-care-couple
254,,link-trade-arrive
255,,link-trade-met
256,,kanto
257,,johto
258,,hoenn
259,,sinnoh
260,,distant-land
261,,traveling-man
262,,riley
263,,cynthia
264,,mystery-zone
265,,lovely-place
266,,pokemon-ranger
267,,faraway-place
268,,pokemon-movie
269,,pokemon-movie-06
270,,pokemon-movie-07
271,,pokemon-movie-08
272,,pokemon-movie-09
273,,pokemon-movie-10
274,,pokemon-movie-11
275,,pokemon-movie-12
276,,pokemon-movie-13
277,,pokemon-movie-14
278,,pokemon-movie-15
279,,pokemon-movie-16
280,,pokemon-cartoon
281,,space-world
282,,space-world-06
283,,space-world-07
284,,space-world-08
285,,space-world-09
286,,space-world-10
287,,space-world-11
288,,space-world-12
289,,space-world-13
290,,space-world-14
291,,space-world-15
292,,space-world-16
293,,pokemon-festa
294,,pokemon-festa-06
295,,pokemon-festa-07
296,,pokemon-festa-08
297,,pokemon-festa-09
298,,pokemon-festa-10
299,,pokemon-festa-11
300,,pokemon-festa-12
301,,pokemon-festa-13
302,,pokemon-festa-14
303,,pokemon-festa-15
304,,pokemon-festa-16
305,,pokepark
306,,pokepark-06
307,,pokepark-07
308,,pokepark-08
309,,pokepark-09
310,,pokepark-10
311,,pokepark-11
312,,pokepark-12
313,,pokepark-13
314,,pokepark-14
315,,pokepark-15
316,,pokepark-16
317,,pokemon-center
318,,pc-tokyo
319,,pc-osaka
320,,pc-fukuoka
321,,pc-nagoya
322,,pc-sapporo
323,,pc-yokohama
324,,nintendo-world
325,,pokemon-event
326,,pokemon-event-06
327,,pokemon-event-07
328,,pokemon-event-08
329,,pokemon-event-09
330,,pokemon-event-10
331,,pokemon-event-11
332,,pokemon-event-12
333,,pokemon-event-13
334,,pokemon-event-14
335,,pokemon-event-15
336,,pokemon-event-16
337,,wi-fi-event
338,,wi-fi-gift
339,,pokemon-fan-club
340,,event-site
341,,concert-event
342,,mr-pokemon
343,,primo
344,5,unova-mystery-zone
345,5,unova-faraway-place
346,5,nuvema-town
347,5,accumula-town
348,5,striaton-city
349,5,nacrene-city
350,5,castelia-city
351,5,nimbasa-city
352,5,driftveil-city
353,5,mistralton-city
354,5,icirrus-city
355,5,opelucid-city
356,5,unova-route-1
357,5,unova-route-2
358,5,unova-route-3
359,5,unova-route-4
360,5,unova-route-5
361,5,unova-route-6
362,5,unova-route-7
363,5,unova-route-8
364,5,unova-route-9
365,5,unova-route-10
366,5,unova-route-11
367,5,unova-route-12
368,5,unova-route-13
369,5,unova-route-14
370,5,unova-route-15
371,5,unova-route-16
372,5,unova-route-17
373,5,unova-route-18
374,5,dreamyard
375,5,pinwheel-forest
376,5,desert-resort
377,5,relic-castle
378,5,cold-storage
379,5,chargestone-cave
380,5,twist-mountain
381,5,dragonspiral-tower
382,5,unova-victory-road
383,5,lacunosa-town
384,5,undella-town
385,5,anville-town
386,5,unova-pokemon-league
387,5,ns-castle
388,5,royal-unova
389,5,gear-station
390,5,battle-subway
391,5,musical-theater
392,5,black-city
393,5,white-forest
394,5,unity-tower
395,5,wellspring-cave
396,5,mistralton-cave
397,5,rumination-field
398,5,celestial-tower
399,5,moor-of-icirrus
400,5,unova-shopping-mall
401,5,challengers-cave
402,5,poke-transfer-lab
403,5,giant-chasm
404,5,liberty-garden
405,5,p2-laboratory
406,5,skyarrow-bridge
407,5,driftveil-drawbridge
408,5,tubeline-bridge
409,5,village-bridge
410,5,marvelous-bridge
411,5,entralink
412,5,abundant-shrine
413,5,undella-bay
414,5,lostlorn-forest
415,5,trial-chamber
416,5,guidance-chamber
417,5,entree-forest
418,5,accumula-gate
419,5,undella-gate
420,5,nacrene-gate
421,5,castelia-gate
422,5,nimbasa-gate
423,5,opelucid-gate
424,5,black-gate
425,5,white-gate
426,5,bridge-gate
427,5,route-gate
428,5,abyssal-ruins
429,3,petalburg-city
430,3,slateport-city
431,3,lilycove-city
432,3,mossdeep-city
433,3,sootopolis-city
434,3,ever-grande-city
435,3,meteor-falls
436,3,rusturf-tunnel
437,3,granite-cave
438,3,petalburg-woods
439,3,jagged-pass
440,3,fiery-path
441,3,mt-pyre
442,3,seafloor-cavern
443,3,cave-of-origin
444,3,hoenn-victory-road
445,3,shoal-cave
446,3,new-mauville
447,3,abandoned-ship
448,3,sky-pillar
449,3,hoenn-route-101
450,3,hoenn-route-102
451,3,hoenn-route-103
452,3,hoenn-route-104
453,3,hoenn-route-105
454,3,hoenn-route-106
455,3,hoenn-route-107
456,3,hoenn-route-108
457,3,hoenn-route-109
458,3,hoenn-route-110
459,3,hoenn-route-111
460,3,hoenn-route-112
461,3,hoenn-route-113
462,3,hoenn-route-114
463,3,hoenn-route-115
464,3,hoenn-route-116
465,3,hoenn-route-117
466,3,hoenn-route-118
467,3,hoenn-route-119
468,3,hoenn-route-120
469,3,hoenn-route-121
470,3,hoenn-route-122
471,3,hoenn-route-123
472,3,hoenn-route-124
473,3,hoenn-route-125
474,3,hoenn-route-126
475,3,hoenn-route-127
476,3,hoenn-route-128
477,3,hoenn-route-129
478,3,hoenn-route-130
479,3,hoenn-route-131
480,3,hoenn-route-132
481,3,hoenn-route-133
482,3,hoenn-route-134
483,3,hoenn-safari-zone
484,3,dewford-town
485,3,pacifidlog-town
486,3,magma-hideout
487,3,mirage-tower
488,3,desert-underpass
489,3,artisan-cave
490,3,hoenn-altering-cave
491,1,monean-chamber
492,1,liptoo-chamber
493,1,weepth-chamber
494,1,dilford-chamber
495,1,scufib-chamber
496,1,rixy-chamber
497,1,viapos-chamber
498,1,ss-anne
500,1,mt-ember
501,1,berry-forest
502,1,icefall-cave
503,1,pattern-bush
504,1,lost-cave
505,1,kindle-road
506,1,treasure-beach
507,1,cape-brink
508,1,bond-bridge
509,1,three-isle-port
510,1,resort-gorgeous
511,1,water-labyrinth
512,1,five-isle-meadow
513,1,memorial-pillar
514,1,outcast-island
515,1,green-path
516,1,water-path
517,1,ruin-valley
518,1,trainer-tower
519,1,canyon-entrance
520,1,sevault-canyon
521,1,tanoby-ruins
526,1,one-island
527,1,four-island
528,1,five-island
529,1,kanto-altering-cave
531,5,aspertia-city
532,5,virbank-city
533,5,humilau-city
534,5,pokestar-studios
535,5,join-avenue
536,5,floccesy-town
537,5,lentimas-town
538,5,unova-route-19
539,5,unova-route-20
540,5,unova-route-21
541,5,unova-route-22
542,5,unova-route-23
543,5,castelia-sewers
544,5,floccesy-ranch
545,5,virbank-complex
546,5,reversal-mountain
547,5,strange-house
548,5,unova-victory-road-2
549,5,plasma-frigate
550,5,relic-passage
551,5,clay-tunnel
552,5,white-treehollow
553,5,black-tower
554,5,seaside-cave
555,5,cave-of-being
556,5,hidden-grotto
557,5,marine-tube
558,5,virbank-gate
559,5,aspertia-gate
560,5,nature-sanctuary
561,5,medal-secretariat
562,5,underground-ruins
563,5,rocky-mountain-room
564,5,glacier-room
565,5,iron-room
566,5,pledge-grove
567,3,littleroot-town
568,3,oldale-town
569,3,lavaridge-town
570,3,fallarbor-town
571,3,verdanturf-town
572,3,mauville-city
573,3,rustboro-city
574,3,fortree-city
575,3,underwater
576,3,mt-chimney
577,3,mirage-island
578,3,southern-island
579,3,sealed-chamber
580,3,scorched-slab
581,3,island-cave
582,3,desert-ruins
583,3,ancient-tomb
584,3,inside-of-truck
585,3,secret-base
586,3,hoenn-battle-tower
587,6,vaniville-town
588,6,kalos-route-1
589,6,vaniville-pathway
590,6,aquacorde-town
591,6,kalos-route-2
592,6,avance-trail
593,6,santalune-forest
594,6,kalos-route-3
595,6,ouvert-way
596,6,santalune-city
597,6,kalos-route-4
598,6,parterre-way
599,6,lumiose-city
600,6,prism-tower
601,6,lysandre-labs
602,6,kalos-route-5
603,6,versant-road
604,6,camphrier-town
605,6,shabboneau-castle
606,6,kalos-route-6
607,6,palais-lane
608,6,parfum-palace
609,6,kalos-route-7
610,6,rivière-walk
611,6,cyllage-city
612,6,kalos-route-8
613,6,muraille-coast
614,6,ambrette-town
615,6,kalos-route-9
616,6,spikes-passage
617,6,battle-chateau
618,6,kalos-route-10
619,6,menhir-trail
620,6,geosenge-town
621,6,kalos-route-11
622,6,miroir-way
623,6,reflection-cave
624,6,shalour-city
625,6,tower-of-mastery
626,6,kalos-route-12
627,6,fourrage-road
628,6,coumarine-city
629,6,kalos-route-13
630,6,lumiose-badlands
631,6,kalos-route-14
632,6,laverre-nature-trail
633,6,laverre-city
634,6,poke-ball-factory
635,6,kalos-route-15
636,6,brun-way
637,6,dendemille-town
638,6,kalos-route-16
639,6,melancolie-path
640,6,frost-cavern
641,6,kalos-route-17
642,6,mamoswine-road
643,6,anistar-city
644,6,kalos-route-18
645,6,vallee-etroite-way
646,6,couriway-town
647,6,kalos-route-19
648,6,grande-vallee-way
649,6,snowbelle-city
650,6,kalos-route-20
651,6,winding-woods
652,6,pokemon-village
653,6,kalos-route-21
654,6,dernière-way
655,6,kalos-route-22
656,6,detourner-way
657,6,kalos-victory-road
658,6,kalos-pokemon-league
659,6,kiloude-city
660,6,battle-maison
661,6,azure-bay
662,6,dendemille-gate
663,6,couriway-gate
664,6,ambrette-gate
665,6,lumiose-gate
666,6,shalour-gate
667,6,coumarine-gate
668,6,laverre-gate
669,6,anistar-gate
670,6,snowbelle-gate
671,6,glittering-cave
672,6,connecting-cave
673,6,zubat-roost
674,6,kalos-power-plant
675,6,team-flare-secret-hq
676,6,terminus-cave
677,6,lost-hotel
678,6,chamber-of-emptiness
679,6,sea-spirits-den
680,6,friend-safari
681,6,blazing-chamber
682,6,flood-chamber
683,6,ironworks-chamber
684,6,dragonmark-chamber
685,6,radiant-chamber
686,6,pokemon-league-gate
687,6,lumiose-station
688,6,kiloude-station
689,6,ambrette-aquarium
690,6,unknown-dungeon
691,3,hoenn-pokemon-league
692,3,team-aqua-hideout
693,3,sea-mauville
694,3,team-magma-hideout
695,3,battle-resort
696,3,ss-tidal
697,3,mirage-forest
698,3,mirage-cave
699,3,mirage-mountain
700,3,trackless-forest
701,3,pathless-plain
702,3,nameless-cavern
703,3,fabled-cave
704,3,gnarled-den
705,3,crescent-isle
706,3,secret-islet
707,3,soaring-in-the-sky
708,3,secret-shore
709,3,secret-meadow
710,7,alola-route-1--hauoli-outskirts
711,7,alola-route-1
712,7,alola-route-3
713,7,alola-route-2
714,7,kalae-bay
715,7,melemele-sea
716,7,hauoli-city--beachfront
717,7,hauoli-city--shopping-district
718,7,hauoli-city--marina
719,7,iki-town
720,7,mahalo-trail
721,7,mahalo-trail--plank-bridge
722,7,ruins-of-conflict
723,7,ten-carat-hill
724,7,ten-carat-hill--farthest-hollow
725,7,hauoli-cemetery
726,7,melemele-meadow
727,7,seaward-cave
728,7,berry-fields
729,7,verdant-cavern--trial-site
730,7,verdant-cavern--totems-den
731,7,alola-route-4
732,7,alola-route-5
733,7,alola-route-6
734,7,alola-route-7
735,7,alola-route-8
736,7,alola-route-9
737,7,hano-grand-resort
738,7,hano-beach
739,7,akala-meadow
740,7,paniola-town
741,7,heahea-city
742,7,konikoni-city
743,7,royal-avenue
744,7,memorial-hill
745,7,paniola-ranch
746,7,wela-volcano-park
747,7,wela-volcano-park--totems-den
748,7,brooklet-hill
749,7,brooklet-hill--totems-den
750,7,lush-jungle
751,7,ruins-of-life
752,7,akala-outskirts
753,7,digletts-tunnel
754,7,battle-royal-dome
755,7,alola-route-10
756,7,alola-route-11
757,7,secluded-shore
758,7,alola-route-13
759,7,tapu-village
760,7,alola-route-15
761,7,alola-route-16
762,7,alola-route-17
763,7,alola-route-12
764,7,haina-desert
765,7,alola-route-14
766,7,ulaula-meadow
767,7,po-town
768,7,malie-city
769,7,malie-garden
770,7,mount-hokulani
771,7,blush-mountain
772,7,ruins-of-abundance
773,7,lake-of-the-sunne
774,7,lake-of-the-moone
775,7,mount-lanakila
776,7,shady-house
777,7,thrifty-megamart--abandoned-site
778,7,hokulani-observatory
779,7,alola-pokemon-league
780,7,poni-meadow
781,7,poni-wilds
782,7,ancient-poni-path
783,7,poni-breaker-coast
784,7,poni-grove
785,7,poni-plains
786,7,poni-coast
787,7,poni-gauntlet
788,7,seafolk-village
789,7,vast-poni-canyon
790,7,altar-of-the-sunne
791,7,altar-of-the-moone
792,7,ruins-of-hope
793,7,resolution-cave
794,7,exeggutor-island
795,7,battle-tree
796,7,aether-paradise
797,7,ultra-space
798,7,malie-city--outer-cape
