machine_number,version_group_id,item_id,move_id
1,1,305,5
1,2,305,5
1,3,305,223
1,4,305,223
1,5,305,264
1,6,305,264
1,7,305,264
1,8,305,264
1,9,305,264
1,10,305,264
1,11,305,468
1,12,305,264
1,13,305,264
1,14,305,468
1,15,305,468
1,16,305,468
1,17,305,526
1,18,305,526
2,1,306,13
2,2,306,13
2,3,306,29
2,4,306,29
2,5,306,337
2,6,306,337
2,7,306,337
2,8,306,337
2,9,306,337
2,10,306,337
2,11,306,337
2,12,306,337
2,13,306,337
2,14,306,337
2,15,306,337
2,16,306,337
2,17,306,337
2,18,306,337
3,1,307,14
3,2,307,14
3,3,307,174
3,4,307,174
3,5,307,352
3,6,307,352
3,7,307,352
3,8,307,352
3,9,307,352
3,10,307,352
3,11,307,473
3,12,307,352
3,13,307,352
3,14,307,473
3,15,307,473
3,16,307,473
3,17,307,473
3,18,307,473
4,1,308,18
4,2,308,18
4,3,308,205
4,4,308,205
4,5,308,347
4,6,308,347
4,7,308,347
4,8,308,347
4,9,308,347
4,10,308,347
4,11,308,347
4,12,308,347
4,13,308,347
4,14,308,347
4,15,308,347
4,16,308,347
4,17,308,347
4,18,308,347
5,1,309,25
5,2,309,25
5,3,309,46
5,4,309,46
5,5,309,46
5,6,309,46
5,7,309,46
5,8,309,46
5,9,309,46
5,10,309,46
5,11,309,46
5,12,309,46
5,13,309,46
5,14,309,46
5,15,309,46
5,16,309,46
5,17,309,46
5,18,309,46
6,1,310,92
6,2,310,92
6,3,310,92
6,4,310,92
6,5,310,92
6,6,310,92
6,7,310,92
6,8,310,92
6,9,310,92
6,10,310,92
6,11,310,92
6,12,310,92
6,13,310,92
6,14,310,92
6,15,310,92
6,16,310,92
6,17,310,92
6,18,310,92
7,1,311,32
7,2,311,32
7,3,311,192
7,4,311,192
7,5,311,258
7,6,311,258
7,7,311,258
7,8,311,258
7,9,311,258
7,10,311,258
7,11,311,258
7,12,311,258
7,13,311,258
7,14,311,258
7,15,311,258
7,16,311,258
7,17,311,258
7,18,311,258
8,1,312,34
8,2,312,34
8,3,312,249
8,4,312,249
8,5,312,339
8,6,312,339
8,7,312,339
8,8,312,339
8,9,312,339
8,10,312,339
8,11,312,339
8,12,312,339
8,13,312,339
8,14,312,339
8,15,312,339
8,16,312,339
8,17,312,339
8,18,312,339
9,1,313,36
9,2,313,36
9,3,313,244
9,4,313,244
9,5,313,331
9,6,313,331
9,7,313,331
9,8,313,331
9,9,313,331
9,10,313,331
9,11,313,474
9,12,313,331
9,13,313,331
9,14,313,474
9,15,313,474
9,16,313,474
9,17,313,474
9,18,313,474
10,1,314,38
10,2,314,38
10,3,314,237
10,4,314,237
10,5,314,237
10,6,314,237
10,7,314,237
10,8,314,237
10,9,314,237
10,10,314,237
10,11,314,237
10,12,314,237
10,13,314,237
10,14,314,237
10,15,314,237
10,16,314,237
10,17,314,237
10,18,314,237
11,1,315,61
11,2,315,61
11,3,315,241
11,4,315,241
11,5,315,241
11,6,315,241
11,7,315,241
11,8,315,241
11,9,315,241
11,10,315,241
11,11,315,241
11,12,315,241
11,13,315,241
11,14,315,241
11,15,315,241
11,16,315,241
11,17,315,241
11,18,315,241
12,1,316,55
12,2,316,55
12,3,316,230
12,4,316,230
12,5,316,269
12,6,316,269
12,7,316,269
12,8,316,269
12,9,316,269
12,10,316,269
12,11,316,269
12,12,316,269
12,13,316,269
12,14,316,269
12,15,316,269
12,16,316,269
12,17,316,269
12,18,316,269
13,1,317,58
13,2,317,58
13,3,317,173
13,4,317,173
13,5,317,58
13,6,317,58
13,7,317,58
13,8,317,58
13,9,317,58
13,10,317,58
13,11,317,58
13,12,317,58
13,13,317,58
13,14,317,58
13,15,317,58
13,16,317,58
13,17,317,58
13,18,317,58
14,1,318,59
14,2,318,59
14,3,318,59
14,4,318,59
14,5,318,59
14,6,318,59
14,7,318,59
14,8,318,59
14,9,318,59
14,10,318,59
14,11,318,59
14,12,318,59
14,13,318,59
14,14,318,59
14,15,318,59
14,16,318,59
14,17,318,59
14,18,318,59
15,1,319,63
15,2,319,63
15,3,319,63
15,4,319,63
15,5,319,63
15,6,319,63
15,7,319,63
15,8,319,63
15,9,319,63
15,10,319,63
15,11,319,63
15,12,319,63
15,13,319,63
15,14,319,63
15,15,319,63
15,16,319,63
15,17,319,63
15,18,319,63
16,1,320,6
16,2,320,6
16,3,320,196
16,4,320,196
16,5,320,113
16,6,320,113
16,7,320,113
16,8,320,113
16,9,320,113
16,10,320,113
16,11,320,113
16,12,320,113
16,13,320,113
16,14,320,113
16,15,320,113
16,16,320,113
16,17,320,113
16,18,320,113
17,1,321,66
17,2,321,66
17,3,321,182
17,4,321,182
17,5,321,182
17,6,321,182
17,7,321,182
17,8,321,182
17,9,321,182
17,10,321,182
17,11,321,182
17,12,321,182
17,13,321,182
17,14,321,182
17,15,321,182
17,16,321,182
17,17,321,182
17,18,321,182
18,1,322,68
18,2,322,68
18,3,322,240
18,4,322,240
18,5,322,240
18,6,322,240
18,7,322,240
18,8,322,240
18,9,322,240
18,10,322,240
18,11,322,240
18,12,322,240
18,13,322,240
18,14,322,240
18,15,322,240
18,16,322,240
18,17,322,240
18,18,322,240
19,1,323,69
19,2,323,69
19,3,323,202
19,4,323,202
19,5,323,202
19,6,323,202
19,7,323,202
19,8,323,202
19,9,323,202
19,10,323,202
19,11,323,477
19,12,323,202
19,13,323,202
19,14,323,477
19,15,323,355
19,16,323,355
19,17,323,355
19,18,323,355
20,1,324,99
20,2,324,99
20,3,324,203
20,4,324,203
20,5,324,219
20,6,324,219
20,7,324,219
20,8,324,219
20,9,324,219
20,10,324,219
20,11,324,219
20,12,324,219
20,13,324,219
20,14,324,219
20,15,324,219
20,16,324,219
20,17,324,219
20,18,324,219
21,1,325,72
21,2,325,72
21,3,325,218
21,4,325,218
21,5,325,218
21,6,325,218
21,7,325,218
21,8,325,218
21,9,325,218
21,10,325,218
21,11,325,218
21,12,325,218
21,13,325,218
21,14,325,218
21,15,325,218
21,16,325,218
21,17,325,218
21,18,325,218
22,1,326,76
22,2,326,76
22,3,326,76
22,4,326,76
22,5,326,76
22,6,326,76
22,7,326,76
22,8,326,76
22,9,326,76
22,10,326,76
22,11,326,76
22,12,326,76
22,13,326,76
22,14,326,76
22,15,326,76
22,16,326,76
22,17,326,76
22,18,326,76
23,1,327,82
23,2,327,82
23,3,327,231
23,4,327,231
23,5,327,231
23,6,327,231
23,7,327,231
23,8,327,231
23,9,327,231
23,10,327,231
23,11,327,479
23,12,327,231
23,13,327,231
23,14,327,479
23,15,327,479
23,16,327,479
23,17,327,479
23,18,327,479
24,1,328,85
24,2,328,85
24,3,328,225
24,4,328,225
24,5,328,85
24,6,328,85
24,7,328,85
24,8,328,85
24,9,328,85
24,10,328,85
24,11,328,85
24,12,328,85
24,13,328,85
24,14,328,85
24,15,328,85
24,16,328,85
24,17,328,85
24,18,328,85
25,1,329,87
25,2,329,87
25,3,329,87
25,4,329,87
25,5,329,87
25,6,329,87
25,7,329,87
25,8,329,87
25,9,329,87
25,10,329,87
25,11,329,87
25,12,329,87
25,13,329,87
25,14,329,87
25,15,329,87
25,16,329,87
25,17,329,87
25,18,329,87
26,1,330,89
26,2,330,89
26,3,330,89
26,4,330,89
26,5,330,89
26,6,330,89
26,7,330,89
26,8,330,89
26,9,330,89
26,10,330,89
26,11,330,89
26,12,330,89
26,13,330,89
26,14,330,89
26,15,330,89
26,16,330,89
26,17,330,89
26,18,330,89
27,1,331,90
27,2,331,90
27,3,331,216
27,4,331,216
27,5,331,216
27,6,331,216
27,7,331,216
27,8,331,216
27,9,331,216
27,10,331,216
27,11,331,216
27,12,331,216
27,13,331,216
27,14,331,216
27,15,331,216
27,16,331,216
27,17,331,216
27,18,331,216
28,1,332,91
28,2,332,91
28,3,332,91
28,4,332,91
28,5,332,91
28,6,332,91
28,7,332,91
28,8,332,91
28,9,332,91
28,10,332,91
28,11,332,91
28,12,332,91
28,13,332,91
28,14,332,91
28,15,332,91
28,16,332,91
28,17,332,141
28,18,332,141
29,1,333,94
29,2,333,94
29,3,333,94
29,4,333,94
29,5,333,94
29,6,333,94
29,7,333,94
29,8,333,94
29,9,333,94
29,10,333,94
29,11,333,94
29,12,333,94
29,13,333,94
29,14,333,94
29,15,333,94
29,16,333,94
29,17,333,94
29,18,333,94
30,1,334,100
30,2,334,100
30,3,334,247
30,4,334,247
30,5,334,247
30,6,334,247
30,7,334,247
30,8,334,247
30,9,334,247
30,10,334,247
30,11,334,247
30,12,334,247
30,13,334,247
30,14,334,247
30,15,334,247
30,16,334,247
30,17,334,247
30,18,334,247
31,1,335,102
31,2,335,102
31,3,335,189
31,4,335,189
31,5,335,280
31,6,335,280
31,7,335,280
31,8,335,280
31,9,335,280
31,10,335,280
31,11,335,280
31,12,335,280
31,13,335,280
31,14,335,280
31,15,335,280
31,16,335,280
31,17,335,280
31,18,335,280
32,1,336,104
32,2,336,104
32,3,336,104
32,4,336,104
32,5,336,104
32,6,336,104
32,7,336,104
32,8,336,104
32,9,336,104
32,10,336,104
32,11,336,104
32,12,336,104
32,13,336,104
32,14,336,104
32,15,336,104
32,16,336,104
32,17,336,104
32,18,336,104
33,1,337,115
33,2,337,115
33,3,337,8
33,4,337,8
33,5,337,115
33,6,337,115
33,7,337,115
33,8,337,115
33,9,337,115
33,10,337,115
33,11,337,115
33,12,337,115
33,13,337,115
33,14,337,115
33,15,337,115
33,16,337,115
33,17,337,115
33,18,337,115
34,1,338,117
34,2,338,117
34,3,338,207
34,4,338,207
34,5,338,351
34,6,338,351
34,7,338,351
34,8,338,351
34,9,338,351
34,10,338,351
34,11,338,482
34,12,338,351
34,13,338,351
34,14,338,482
34,15,338,482
34,16,338,482
34,17,338,482
34,18,338,482
35,1,339,118
35,2,339,118
35,3,339,214
35,4,339,214
35,5,339,53
35,6,339,53
35,7,339,53
35,8,339,53
35,9,339,53
35,10,339,53
35,11,339,53
35,12,339,53
35,13,339,53
35,14,339,53
35,15,339,53
35,16,339,53
35,17,339,53
35,18,339,53
36,1,340,120
36,2,340,120
36,3,340,188
36,4,340,188
36,5,340,188
36,6,340,188
36,7,340,188
36,8,340,188
36,9,340,188
36,10,340,188
36,11,340,188
36,12,340,188
36,13,340,188
36,14,340,188
36,15,340,188
36,16,340,188
36,17,340,188
36,18,340,188
37,1,341,121
37,2,341,121
37,3,341,201
37,4,341,201
37,5,341,201
37,6,341,201
37,7,341,201
37,8,341,201
37,9,341,201
37,10,341,201
37,11,341,201
37,12,341,201
37,13,341,201
37,14,341,201
37,15,341,201
37,16,341,201
37,17,341,201
37,18,341,201
38,1,342,126
38,2,342,126
38,3,342,126
38,4,342,126
38,5,342,126
38,6,342,126
38,7,342,126
38,8,342,126
38,9,342,126
38,10,342,126
38,11,342,126
38,12,342,126
38,13,342,126
38,14,342,126
38,15,342,126
38,16,342,126
38,17,342,126
38,18,342,126
39,1,343,129
39,2,343,129
39,3,343,129
39,4,343,129
39,5,343,317
39,6,343,317
39,7,343,317
39,8,343,317
39,9,343,317
39,10,343,317
39,11,343,317
39,12,343,317
39,13,343,317
39,14,343,317
39,15,343,317
39,16,343,317
39,17,343,317
39,18,343,317
40,1,344,130
40,2,344,130
40,3,344,111
40,4,344,111
40,5,344,332
40,6,344,332
40,7,344,332
40,8,344,332
40,9,344,332
40,10,344,332
40,11,344,332
40,12,344,332
40,13,344,332
40,14,344,332
40,15,344,332
40,16,344,332
40,17,344,332
40,18,344,332
41,1,345,135
41,2,345,135
41,3,345,9
41,4,345,9
41,5,345,259
41,6,345,259
41,7,345,259
41,8,345,259
41,9,345,259
41,10,345,259
41,11,345,259
41,12,345,259
41,13,345,259
41,14,345,259
41,15,345,259
41,16,345,259
41,17,345,259
41,18,345,259
42,1,346,138
42,2,346,138
42,3,346,138
42,4,346,138
42,5,346,263
42,6,346,263
42,7,346,263
42,8,346,263
42,9,346,263
42,10,346,263
42,11,346,263
42,12,346,263
42,13,346,263
42,14,346,263
42,15,346,263
42,16,346,263
42,17,346,263
42,18,346,263
43,1,347,143
43,2,347,143
43,3,347,197
43,4,347,197
43,5,347,290
43,6,347,290
43,7,347,290
43,8,347,290
43,9,347,290
43,10,347,290
43,11,347,488
43,12,347,290
43,13,347,290
43,14,347,488
43,15,347,488
43,16,347,488
43,17,347,488
43,18,347,488
44,1,348,156
44,2,348,156
44,3,348,156
44,4,348,156
44,5,348,156
44,6,348,156
44,7,348,156
44,8,348,156
44,9,348,156
44,10,348,156
44,11,348,156
44,12,348,156
44,13,348,156
44,14,348,156
44,15,348,156
44,16,348,156
44,17,348,156
44,18,348,156
45,1,349,86
45,2,349,86
45,3,349,213
45,4,349,213
45,5,349,213
45,6,349,213
45,7,349,213
45,8,349,213
45,9,349,213
45,10,349,213
45,11,349,213
45,12,349,213
45,13,349,213
45,14,349,213
45,15,349,213
45,16,349,213
45,17,349,213
45,18,349,213
46,1,350,149
46,2,350,149
46,3,350,168
46,4,350,168
46,5,350,168
46,6,350,168
46,7,350,168
46,8,350,168
46,9,350,168
46,10,350,168
46,11,350,168
46,12,350,168
46,13,350,168
46,14,350,168
46,15,350,168
46,16,350,168
46,17,350,168
46,18,350,168
47,1,351,153
47,2,351,153
47,3,351,211
47,4,351,211
47,5,351,211
47,6,351,211
47,7,351,211
47,8,351,211
47,9,351,211
47,10,351,211
47,11,351,490
47,12,351,211
47,13,351,211
47,14,351,490
47,15,351,490
47,16,351,490
47,17,351,490
47,18,351,490
48,1,352,157
48,2,352,157
48,3,352,7
48,4,352,7
48,5,352,285
48,6,352,285
48,7,352,285
48,8,352,285
48,9,352,285
48,10,352,285
48,11,352,496
48,12,352,285
48,13,352,285
48,14,352,496
48,15,352,496
48,16,352,496
48,17,352,496
48,18,352,496
49,1,353,161
49,2,353,161
49,3,353,210
49,4,353,210
49,5,353,289
49,6,353,289
49,7,353,289
49,8,353,289
49,9,353,289
49,10,353,289
49,11,353,497
49,12,353,289
49,13,353,289
49,14,353,497
49,15,353,497
49,16,353,497
49,17,353,497
49,18,353,497
50,1,354,164
50,2,354,164
50,3,354,171
50,4,354,171
50,5,354,315
50,6,354,315
50,7,354,315
50,8,354,315
50,9,354,315
50,10,354,315
50,11,354,315
50,12,354,315
50,13,354,315
50,14,354,315
50,15,354,315
50,16,354,315
50,17,354,315
50,18,354,315
51,8,355,355
51,9,355,355
51,10,355,355
51,11,355,502
51,14,355,502
51,15,355,211
51,16,355,211
51,17,355,211
51,18,355,211
52,8,356,411
52,9,356,411
52,10,356,411
52,11,356,411
52,14,356,411
52,15,356,411
52,16,356,411
52,17,356,411
52,18,356,411
53,8,357,412
53,9,357,412
53,10,357,412
53,11,357,412
53,14,357,412
53,15,357,412
53,16,357,412
53,17,357,412
53,18,357,412
54,8,358,206
54,9,358,206
54,10,358,206
54,11,358,206
54,14,358,206
54,15,358,206
54,16,358,206
54,17,358,206
54,18,358,206
55,8,359,362
55,9,359,362
55,10,359,362
55,11,359,503
55,14,359,503
55,15,359,503
55,16,359,503
55,17,359,503
55,18,359,503
56,8,360,374
56,9,360,374
56,10,360,374
56,11,360,374
56,14,360,374
56,15,360,374
56,16,360,374
56,17,360,374
56,18,360,374
57,8,361,451
57,9,361,451
57,10,361,451
57,11,361,451
57,14,361,451
57,15,361,451
57,16,361,451
57,17,361,451
57,18,361,451
58,8,362,203
58,9,362,203
58,10,362,203
58,11,362,507
58,14,362,507
58,15,362,507
58,16,362,507
58,17,362,507
58,18,362,507
59,8,363,406
59,9,363,406
59,10,363,406
59,11,363,510
59,14,363,510
59,15,363,510
59,16,363,510
59,17,363,693
59,18,363,693
60,8,364,409
60,9,364,409
60,10,364,409
60,11,364,511
60,14,364,511
60,15,364,511
60,16,364,511
60,17,364,511
60,18,364,511
61,8,365,261
61,9,365,261
61,10,365,261
61,11,365,261
61,14,365,261
61,15,365,261
61,16,365,261
61,17,365,261
61,18,365,261
62,8,366,318
62,9,366,318
62,10,366,318
62,11,366,512
62,14,366,512
62,15,366,512
62,16,366,512
62,17,366,512
62,18,366,512
63,8,367,373
63,9,367,373
63,10,367,373
63,11,367,373
63,14,367,373
63,15,367,373
63,16,367,373
63,17,367,373
63,18,367,373
64,8,368,153
64,9,368,153
64,10,368,153
64,11,368,153
64,14,368,153
64,15,368,153
64,16,368,153
64,17,368,153
64,18,368,153
65,8,369,421
65,9,369,421
65,10,369,421
65,11,369,421
65,14,369,421
65,15,369,421
65,16,369,421
65,17,369,421
65,18,369,421
66,8,370,371
66,9,370,371
66,10,370,371
66,11,370,371
66,14,370,371
66,15,370,371
66,16,370,371
66,17,370,371
66,18,370,371
67,8,371,278
67,9,371,278
67,10,371,278
67,11,371,514
67,14,371,514
67,15,371,514
67,16,371,514
67,17,371,684
67,18,371,684
68,8,372,416
68,9,372,416
68,10,372,416
68,11,372,416
68,14,372,416
68,15,372,416
68,16,372,416
68,17,372,416
68,18,372,416
69,8,373,397
69,9,373,397
69,10,373,397
69,11,373,397
69,14,373,397
69,15,373,397
69,16,373,397
69,17,373,397
69,18,373,397
70,8,374,148
70,9,374,148
70,10,374,148
70,11,374,148
70,14,374,148
70,15,374,148
70,16,374,148
70,17,374,694
70,18,374,694
71,8,375,444
71,9,375,444
71,10,375,444
71,11,375,444
71,14,375,444
71,15,375,444
71,16,375,444
71,17,375,444
71,18,375,444
72,8,376,419
72,9,376,419
72,10,376,419
72,11,376,521
72,14,376,521
72,15,376,521
72,16,376,521
72,17,376,521
72,18,376,521
73,8,377,86
73,9,377,86
73,10,377,86
73,11,377,86
73,14,377,86
73,15,377,86
73,16,377,86
73,17,377,86
73,18,377,86
74,8,378,360
74,9,378,360
74,10,378,360
74,11,378,360
74,14,378,360
74,15,378,360
74,16,378,360
74,17,378,360
74,18,378,360
75,8,379,14
75,9,379,14
75,10,379,14
75,11,379,14
75,14,379,14
75,15,379,14
75,16,379,14
75,17,379,14
75,18,379,14
76,8,380,446
76,9,380,446
76,10,380,446
76,11,380,522
76,14,380,522
76,15,380,522
76,16,380,522
76,17,380,19
76,18,380,19
77,8,381,244
77,9,381,244
77,10,381,244
77,11,381,244
77,14,381,244
77,15,381,244
77,16,381,244
77,17,381,244
77,18,381,244
78,8,382,445
78,9,382,445
78,10,382,445
78,11,382,523
78,14,382,523
78,15,382,523
78,16,382,523
78,17,382,523
78,18,382,523
79,8,383,399
79,9,383,399
79,10,383,399
79,11,383,524
79,14,383,524
79,15,383,524
79,16,383,524
79,17,383,524
79,18,383,524
80,8,384,157
80,9,384,157
80,10,384,157
80,11,384,157
80,14,384,157
80,15,384,157
80,16,384,157
80,17,384,157
80,18,384,157
81,8,385,404
81,9,385,404
81,10,385,404
81,11,385,404
81,14,385,404
81,15,385,404
81,16,385,404
81,17,385,404
81,18,385,404
82,8,386,214
82,9,386,214
82,10,386,214
82,11,386,525
82,14,386,525
82,15,386,525
82,16,386,525
82,17,386,525
82,18,386,525
83,8,387,363
83,9,387,363
83,10,387,363
83,11,387,526
83,14,387,526
83,15,387,611
83,16,387,611
83,17,387,611
83,18,387,611
84,8,388,398
84,9,388,398
84,10,388,398
84,11,388,398
84,14,388,398
84,15,388,398
84,16,388,398
84,17,388,398
84,18,388,398
85,8,389,138
85,9,389,138
85,10,389,138
85,11,389,138
85,14,389,138
85,15,389,138
85,16,389,138
85,17,389,138
85,18,389,138
86,8,390,447
86,9,390,447
86,10,390,447
86,11,390,447
86,14,390,447
86,15,390,447
86,16,390,447
86,17,390,447
86,18,390,447
87,8,391,207
87,9,391,207
87,10,391,207
87,11,391,207
87,14,391,207
87,15,391,207
87,16,391,207
87,17,391,207
87,18,391,207
88,8,392,365
88,9,392,365
88,10,392,365
88,11,392,365
88,14,392,365
88,15,392,214
88,16,392,214
88,17,392,214
88,18,392,214
89,8,393,369
89,9,393,369
89,10,393,369
89,11,393,369
89,14,393,369
89,15,393,369
89,16,393,369
89,17,393,369
89,18,393,369
90,8,394,164
90,9,394,164
90,10,394,164
90,11,394,164
90,14,394,164
90,15,394,164
90,16,394,164
90,17,394,164
90,18,394,164
91,8,395,430
91,9,395,430
91,10,395,430
91,11,395,430
91,14,395,430
91,15,395,430
91,16,395,430
91,17,395,430
91,18,395,430
92,8,396,433
92,9,396,433
92,10,396,433
92,11,396,433
92,14,396,433
92,15,396,433
92,16,396,433
92,17,396,433
92,18,396,433
93,11,659,528
93,14,659,528
93,15,659,528
93,16,659,528
93,17,659,528
93,18,659,528
94,11,660,249
94,14,660,249
94,15,660,249
94,16,660,290
94,17,660,57
94,18,660,57
95,11,661,555
95,14,661,555
95,15,661,555
95,16,661,555
95,17,661,555
95,18,661,555
96,15,745,267
96,16,745,267
96,17,745,267
96,18,745,267
97,15,746,399
97,16,746,399
97,17,746,399
97,18,746,399
98,15,747,612
98,16,747,612
98,17,747,127
98,18,747,127
99,15,748,605
99,16,748,605
99,17,748,605
99,18,748,605
100,15,749,590
100,16,749,590
100,17,749,590
100,18,749,590
101,1,397,15
101,2,397,15
101,3,397,15
101,4,397,15
101,5,397,15
101,6,397,15
101,7,397,15
101,8,397,15
101,9,397,15
101,10,397,15
101,11,397,15
101,12,397,15
101,13,397,15
101,14,397,15
101,15,397,15
101,16,397,15
101,17,397,15
101,18,397,15
102,1,398,19
102,2,398,19
102,3,398,19
102,4,398,19
102,5,398,19
102,6,398,19
102,7,398,19
102,8,398,19
102,9,398,19
102,10,398,19
102,11,398,19
102,12,398,19
102,13,398,19
102,14,398,19
102,15,398,19
102,16,398,19
102,17,398,19
102,18,398,19
103,1,399,57
103,2,399,57
103,3,399,57
103,4,399,57
103,5,399,57
103,6,399,57
103,7,399,57
103,8,399,57
103,9,399,57
103,10,399,57
103,11,399,57
103,12,399,57
103,13,399,57
103,14,399,57
103,15,399,57
103,16,399,57
103,17,399,57
103,18,399,57
104,1,400,70
104,2,400,70
104,3,400,70
104,4,400,70
104,5,400,70
104,6,400,70
104,7,400,70
104,8,400,70
104,9,400,70
104,10,400,70
104,11,400,70
104,12,400,70
104,13,400,70
104,14,400,70
104,15,400,70
104,16,400,70
104,17,400,70
104,18,400,70
105,1,401,148
105,2,401,148
105,3,401,148
105,4,401,148
105,5,401,148
105,6,401,148
105,7,401,148
105,8,401,432
105,9,401,432
105,10,401,250
105,11,401,127
105,12,401,148
105,13,401,148
105,14,401,127
105,15,401,127
105,16,401,127
105,17,401,127
105,18,401,127
106,3,402,250
106,4,402,250
106,5,402,249
106,6,402,249
106,7,402,249
106,8,402,249
106,9,402,249
106,10,402,249
106,11,402,291
106,12,402,249
106,13,402,249
106,14,402,291
106,16,402,249
106,17,402,249
106,18,402,249
107,3,403,127
107,4,403,127
107,5,403,127
107,6,403,127
107,7,403,127
107,8,403,127
107,9,403,127
107,10,403,127
107,12,403,127
107,13,403,127
107,16,403,291
107,17,403,291
107,18,403,291
108,5,404,291
108,6,404,291
108,7,404,291
108,8,404,431
108,9,404,431
108,10,404,431
108,12,404,291
108,13,404,291
