id,identifier,generation_id,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,contest_type_id,contest_effect_id,super_contest_effect_id
1,pound,1,1,40,35,100,0,10,2,1,,5,1,5
2,karate-chop,1,2,50,25,100,0,10,2,44,,5,2,5
3,double-slap,1,1,15,10,85,0,10,2,30,,5,10,7
4,comet-punch,1,1,18,15,85,0,10,2,30,,5,12,7
5,mega-punch,1,1,80,20,85,0,10,2,1,,5,1,18
6,pay-day,1,1,40,20,100,0,10,2,35,,4,11,23
7,fire-punch,1,10,75,15,100,0,10,2,5,10,2,1,17
8,ice-punch,1,15,75,15,100,0,10,2,6,10,2,1,17
9,thunder-punch,1,13,75,15,100,0,10,2,7,10,1,1,17
10,scratch,1,1,40,35,100,0,10,2,1,,5,1,5
11,vice-grip,1,1,55,30,100,0,10,2,1,,5,1,5
12,guillotine,1,1,,5,30,0,10,2,39,,1,14,9
13,razor-wind,1,1,80,10,100,0,11,3,40,,1,2,6
14,swords-dance,1,1,,20,,0,7,1,51,,2,32,11
15,cut,1,1,50,30,95,0,10,2,1,,1,14,5
16,gust,1,3,40,35,100,0,10,3,150,,4,21,5
17,wing-attack,1,3,60,35,100,0,10,2,1,,1,12,5
18,whirlwind,1,1,,20,,-6,10,1,29,,4,21,9
19,fly,1,3,90,15,95,0,10,2,156,,4,15,6
20,bind,1,1,15,20,85,0,10,2,43,100,5,24,21
21,slam,1,1,80,20,75,0,10,2,1,,5,23,5
22,vine-whip,1,12,45,25,100,0,10,2,1,,1,1,5
23,stomp,1,1,65,20,100,0,10,2,151,30,5,4,5
24,double-kick,1,2,30,30,100,0,10,2,45,,1,12,7
25,mega-kick,1,1,120,5,75,0,10,2,1,,1,1,18
26,jump-kick,1,2,100,10,95,0,10,2,46,,1,3,5
27,rolling-kick,1,2,60,15,85,0,10,2,32,30,1,5,5
28,sand-attack,1,5,,15,100,0,10,1,24,,3,10,19
29,headbutt,1,1,70,15,100,0,10,2,32,30,5,9,5
30,horn-attack,1,1,65,25,100,0,10,2,1,,1,1,5
31,fury-attack,1,1,15,20,85,0,10,2,30,,1,10,7
32,horn-drill,1,1,,5,30,0,10,2,39,,1,14,9
33,tackle,1,1,50,35,100,0,10,2,1,,5,1,5
34,body-slam,1,1,85,15,100,0,10,2,7,30,5,4,5
35,wrap,1,1,15,20,90,0,10,2,43,100,5,24,21
36,take-down,1,1,90,20,85,0,10,2,49,,5,3,5
37,thrash,1,1,120,10,100,0,8,2,28,,5,6,7
38,double-edge,1,1,120,15,100,0,10,2,199,,5,3,9
39,tail-whip,1,1,,30,100,0,11,1,20,,3,28,19
40,poison-sting,1,4,15,35,100,0,10,2,3,30,4,9,19
41,twineedle,1,7,25,20,100,0,10,2,78,20,1,9,7
42,pin-missile,1,7,25,20,95,0,10,2,30,,1,10,7
43,leer,1,1,,30,100,0,11,1,20,100,1,24,19
44,bite,1,17,60,25,100,0,10,2,32,30,5,5,5
45,growl,1,1,,40,100,0,11,1,19,,3,28,19
46,roar,1,1,,20,,-6,10,1,29,,1,21,19
47,sing,1,1,,15,55,0,10,1,2,,3,18,19
48,supersonic,1,1,,20,55,0,10,1,50,,4,21,19
49,sonic-boom,1,1,,20,90,0,10,3,131,,1,12,5
50,disable,1,1,,20,100,0,10,1,87,,4,18,19
51,acid,1,4,40,30,100,0,11,3,73,10,4,4,5
52,ember,1,10,40,25,100,0,10,3,5,10,2,1,5
53,flamethrower,1,10,90,15,100,0,10,3,5,10,2,1,17
54,mist,1,15,,30,,0,4,1,47,,2,15,13
55,water-gun,1,11,40,25,100,0,10,3,1,,3,1,5
56,hydro-pump,1,11,110,5,80,0,10,3,1,,2,1,17
57,surf,1,11,90,15,100,0,9,3,258,,2,2,17
58,ice-beam,1,15,90,10,100,0,10,3,6,10,2,23,17
59,blizzard,1,15,110,5,70,0,11,3,261,10,2,1,17
60,psybeam,1,14,65,20,100,0,10,3,77,10,2,21,17
61,bubble-beam,1,11,65,20,100,0,10,3,71,10,2,5,2
62,aurora-beam,1,15,65,20,100,0,10,3,69,10,2,23,17
63,hyper-beam,1,1,150,5,90,0,10,3,81,,1,6,22
64,peck,1,3,35,35,100,0,10,2,1,,1,1,5
65,drill-peck,1,3,80,20,100,0,10,2,1,,1,1,5
66,submission,1,2,80,20,80,0,10,2,49,,1,3,5
67,low-kick,1,2,,20,100,0,10,2,197,,5,4,5
68,counter,1,2,,20,100,-5,1,2,90,,5,16,15
69,seismic-toss,1,2,,20,100,0,10,2,88,,5,23,5
70,strength,1,1,80,15,100,0,10,2,1,,5,23,5
71,absorb,1,12,20,25,100,0,10,3,4,,4,9,20
72,mega-drain,1,12,40,15,100,0,10,3,4,,4,4,20
73,leech-seed,1,12,,10,90,0,10,1,85,,4,8,21
74,growth,1,1,,20,,0,7,1,317,,2,32,11
75,razor-leaf,1,12,55,25,95,0,11,2,44,,1,2,5
76,solar-beam,1,12,120,10,100,0,10,3,152,,1,1,6
77,poison-powder,1,4,,35,75,0,10,1,67,,4,33,19
78,stun-spore,1,12,,30,75,0,10,1,68,,4,14,19
79,sleep-powder,1,12,,15,75,0,10,1,2,,4,5,19
80,petal-dance,1,12,120,10,100,0,8,3,28,,2,6,21
81,string-shot,1,7,,40,95,0,11,1,21,,4,9,19
82,dragon-rage,1,16,,10,100,0,10,3,42,,1,26,5
83,fire-spin,1,10,35,15,85,0,10,3,43,100,2,24,21
84,thunder-shock,1,13,40,30,100,0,10,3,7,10,1,1,5
85,thunderbolt,1,13,90,15,100,0,10,3,7,10,1,1,17
86,thunder-wave,1,13,,20,100,0,10,1,68,,1,14,19
87,thunder,1,13,110,10,70,0,10,3,153,30,1,8,17
88,rock-throw,1,6,50,15,90,0,10,2,1,,5,12,5
89,earthquake,1,5,100,10,100,0,9,2,148,,5,5,18
90,fissure,1,5,,5,30,0,10,2,39,,5,14,9
91,dig,1,5,80,10,100,0,10,2,257,,4,15,6
92,toxic,1,4,,10,90,0,10,1,34,,4,33,19
93,confusion,1,14,50,25,100,0,10,3,77,10,4,9,5
94,psychic,1,14,90,10,100,0,10,3,73,10,4,5,17
95,hypnosis,1,14,,20,60,0,10,1,2,,4,5,19
96,meditate,1,14,,40,,0,7,1,11,,2,32,11
97,agility,1,14,,30,,0,7,1,53,,1,30,1
98,quick-attack,1,1,40,30,100,1,10,2,104,,1,30,1
99,rage,1,1,20,20,100,0,10,2,82,,1,17,11
100,teleport,1,14,,20,,0,7,1,154,,1,15,1
101,night-shade,1,8,,15,100,0,10,3,88,,4,23,5
102,mimic,1,1,,10,,0,10,1,83,,3,19,12
103,screech,1,1,,40,85,0,10,1,60,,4,5,10
104,double-team,1,1,,15,,0,7,1,17,,1,16,1
105,recover,1,1,,10,,0,7,1,33,,4,23,8
106,harden,1,1,,30,,0,7,1,12,,5,16,13
107,minimize,1,1,,10,,0,7,1,109,,3,16,13
108,smokescreen,1,1,,20,100,0,10,1,24,,4,21,10
109,confuse-ray,1,8,,10,100,0,10,1,50,,4,21,10
110,withdraw,1,11,,40,,0,7,1,12,,3,15,13
111,defense-curl,1,1,,40,,0,7,1,157,,3,16,13
112,barrier,1,14,,20,,0,7,1,52,,1,15,13
113,light-screen,1,14,,30,,0,4,1,36,,2,15,13
114,haze,1,15,,30,,0,12,1,26,,2,33,13
115,reflect,1,14,,20,,0,4,1,66,,4,15,13
116,focus-energy,1,1,,30,,0,7,1,48,,1,5,11
117,bide,1,1,,10,,1,7,2,27,,5,15,15
118,metronome,1,1,,10,,0,7,1,84,,3,17,14
119,mirror-move,1,3,,20,,0,10,1,10,,4,19,15
120,self-destruct,1,1,200,5,100,0,9,2,8,,2,7,9
121,egg-bomb,1,1,100,10,75,0,10,2,1,,5,1,5
122,lick,1,8,30,30,100,0,10,2,7,30,5,4,16
123,smog,1,4,30,20,70,0,10,3,3,40,5,5,5
124,sludge,1,4,65,20,100,0,10,3,3,30,5,4,18
125,bone-club,1,5,65,20,85,0,10,2,32,10,5,10,5
126,fire-blast,1,10,110,5,85,0,10,3,5,10,2,1,17
127,waterfall,1,11,80,15,100,0,10,2,32,20,5,28,5
128,clamp,1,11,35,15,85,0,10,2,43,100,5,24,5
129,swift,1,1,60,20,,0,11,3,18,,1,27,17
130,skull-bash,1,1,130,10,100,0,10,2,146,100,5,4,6
131,spike-cannon,1,1,20,15,100,0,10,2,30,,1,10,7
132,constrict,1,1,10,35,100,0,10,2,71,10,5,9,21
133,amnesia,1,14,,20,,0,7,1,55,,3,32,11
134,kinesis,1,14,,15,80,0,10,1,24,,4,24,11
135,soft-boiled,1,1,,10,,0,7,1,33,,2,1,8
136,high-jump-kick,1,2,130,10,90,0,10,2,46,,1,3,5
137,glare,1,1,,30,100,0,10,1,68,,5,5,19
138,dream-eater,1,14,100,15,100,0,10,3,9,,4,8,20
139,poison-gas,1,4,,40,90,0,11,1,67,,4,33,5
140,barrage,1,1,15,20,85,0,10,2,30,,5,12,7
141,leech-life,1,7,20,15,100,0,10,2,4,,4,9,20
142,lovely-kiss,1,1,,10,75,0,10,1,2,,2,5,19
143,sky-attack,1,3,140,5,90,0,10,2,76,30,1,2,6
144,transform,1,1,,10,,0,10,1,58,,4,17,23
145,bubble,1,11,40,30,100,0,11,3,71,10,3,8,2
146,dizzy-punch,1,1,70,10,100,0,10,2,77,20,1,4,16
147,spore,1,12,,15,100,0,10,1,2,,2,5,10
148,flash,1,1,,20,100,0,10,1,24,,2,21,10
149,psywave,1,14,,15,100,0,10,3,89,,4,14,5
150,splash,1,1,,40,,0,7,1,86,,3,28,16
151,acid-armor,1,4,,20,,0,7,1,52,,5,32,11
152,crabhammer,1,11,100,10,90,0,10,2,44,,5,2,18
153,explosion,1,1,250,5,100,0,9,2,8,,2,7,9
154,fury-swipes,1,1,18,15,80,0,10,2,30,,5,10,7
155,bonemerang,1,5,50,10,90,0,10,2,45,,5,1,7
156,rest,1,14,,10,,0,7,1,38,,3,16,8
157,rock-slide,1,6,75,10,90,0,11,2,32,30,5,5,5
158,hyper-fang,1,1,80,15,90,0,10,2,32,10,1,4,18
159,sharpen,1,1,,30,,0,7,1,11,,3,32,11
160,conversion,1,1,,30,,0,7,1,31,,2,12,23
161,tri-attack,1,1,80,10,100,0,10,3,37,20,2,8,5
162,super-fang,1,1,,10,90,0,10,2,41,,5,14,5
163,slash,1,1,70,20,100,0,10,2,44,,1,2,5
164,substitute,1,1,,10,,0,7,1,80,,4,16,23
165,struggle,1,1,50,,,0,8,2,255,,1,1,5
166,sketch,2,1,,1,,0,10,1,96,,4,19,23
167,triple-kick,2,2,10,10,90,0,10,2,105,,1,1,7
168,thief,2,17,60,25,100,0,10,2,106,,5,20,12
169,spider-web,2,7,,10,,0,10,1,107,,4,18,13
170,mind-reader,2,1,,5,,0,10,1,95,,4,24,20
171,nightmare,2,8,,15,100,0,10,1,108,,4,5,19
172,flame-wheel,2,10,60,25,100,0,10,2,126,10,2,1,7
173,snore,2,1,50,15,100,0,10,3,93,30,3,1,5
174,curse,2,8,,10,,0,1,1,110,,5,31,21
175,flail,2,1,,15,100,0,10,2,100,,3,26,15
176,conversion-2,2,1,,30,,0,10,1,94,,2,12,23
177,aeroblast,2,3,100,5,95,0,10,3,44,,1,2,22
178,cotton-spore,2,12,,40,100,0,11,1,61,,2,10,1
179,reversal,2,2,,15,100,0,10,2,100,,1,28,15
180,spite,2,8,,10,100,0,10,1,101,,5,28,19
181,powder-snow,2,15,40,25,100,0,11,3,6,10,2,1,5
182,protect,2,1,,10,,4,7,1,112,,3,15,16
183,mach-punch,2,2,40,30,100,1,10,2,104,,1,30,1
184,scary-face,2,1,,10,100,0,10,1,61,,5,10,2
185,feint-attack,2,17,60,20,,0,10,2,18,,4,27,18
186,sweet-kiss,2,18,,10,75,0,10,1,50,,3,18,19
187,belly-drum,2,1,,10,,0,7,1,143,,3,32,11
188,sludge-bomb,2,4,90,10,100,0,10,3,3,30,5,10,18
189,mud-slap,2,5,20,10,100,0,10,3,74,100,3,10,5
190,octazooka,2,11,65,10,85,0,10,3,74,50,5,10,4
191,spikes,2,5,,20,,0,6,1,113,,4,18,13
192,zap-cannon,2,13,120,5,50,0,10,3,7,100,1,1,4
193,foresight,2,1,,40,,0,10,1,114,,4,33,20
194,destiny-bond,2,8,,5,,0,7,1,99,,4,7,9
195,perish-song,2,1,,5,,0,14,1,115,,2,14,10
196,icy-wind,2,15,55,15,95,0,11,3,71,100,2,5,2
197,detect,2,2,,5,,4,7,1,112,,1,16,16
198,bone-rush,2,5,25,10,90,0,10,2,30,,5,1,7
199,lock-on,2,1,,5,,0,10,1,95,,4,24,20
200,outrage,2,16,120,10,100,0,8,2,28,,1,6,7
201,sandstorm,2,6,,10,,0,12,1,116,,5,21,13
202,giga-drain,2,12,75,10,100,0,10,3,4,,4,10,20
203,endure,2,1,,10,,4,7,1,117,,5,16,13
204,charm,2,18,,20,100,0,10,1,59,,3,23,19
205,rollout,2,6,30,20,90,0,10,2,118,,5,24,7
206,false-swipe,2,1,40,40,100,0,10,2,102,,1,5,16
207,swagger,2,1,,15,90,0,10,1,119,,3,27,19
208,milk-drink,2,1,,10,,0,7,1,33,,3,12,8
209,spark,2,13,65,20,100,0,10,2,7,30,1,4,5
210,fury-cutter,2,7,40,20,95,0,10,2,120,,1,17,7
211,steel-wing,2,9,70,25,90,0,10,2,139,10,1,12,5
212,mean-look,2,1,,5,,0,10,1,107,,2,18,10
213,attract,2,1,,15,100,0,10,1,121,,3,18,19
214,sleep-talk,2,1,,10,,0,7,1,98,,3,17,5
215,heal-bell,2,1,,5,,0,13,1,103,,2,28,8
216,return,2,1,,20,100,0,10,2,122,,3,13,17
217,present,2,1,,15,90,0,10,2,123,,3,17,16
218,frustration,2,1,,20,100,0,10,2,124,,3,13,18
219,safeguard,2,1,,25,,0,4,1,125,,2,15,13
220,pain-split,2,1,,20,,0,10,1,92,,4,4,10
221,sacred-fire,2,10,100,5,95,0,10,2,126,50,2,1,22
222,magnitude,2,5,,30,100,0,9,2,127,,5,11,18
223,dynamic-punch,2,2,100,5,50,0,10,2,77,100,1,10,18
224,megahorn,2,7,120,10,85,0,10,2,1,,1,12,18
225,dragon-breath,2,16,60,20,100,0,10,3,7,30,1,5,17
226,baton-pass,2,1,,40,,0,7,1,128,,3,18,16
227,encore,2,1,,5,100,0,10,1,91,,3,18,20
228,pursuit,2,17,40,20,100,0,10,2,129,,4,14,20
229,rapid-spin,2,1,20,40,100,0,10,2,130,,1,16,17
230,sweet-scent,2,1,,20,100,0,11,1,25,,3,5,19
231,iron-tail,2,9,100,15,75,0,10,2,70,30,1,4,18
232,metal-claw,2,9,50,35,95,0,10,2,140,10,1,1,18
233,vital-throw,2,2,70,10,,-1,10,2,79,,1,31,2
234,morning-sun,2,1,,5,,0,7,1,133,,2,25,8
235,synthesis,2,12,,5,,0,7,1,133,,4,25,8
236,moonlight,2,18,,5,,0,7,1,133,,2,25,8
237,hidden-power,2,1,60,15,100,0,10,3,136,,4,17,23
238,cross-chop,2,2,100,5,80,0,10,2,44,,1,2,18
239,twister,2,16,40,20,100,0,11,3,147,20,1,21,5
240,rain-dance,2,11,,5,,0,12,1,137,,5,11,13
241,sunny-day,2,10,,5,,0,12,1,138,,2,11,13
242,crunch,2,17,80,15,100,0,10,2,70,20,5,4,18
243,mirror-coat,2,14,,20,100,-5,1,3,145,,2,16,15
244,psych-up,2,1,,10,,0,10,1,144,,4,12,11
245,extreme-speed,2,1,80,5,100,2,10,2,104,,1,30,1
246,ancient-power,2,6,60,5,100,0,10,3,141,10,5,32,18
247,shadow-ball,2,8,80,15,100,0,10,3,73,20,4,21,17
248,future-sight,2,14,120,10,100,0,10,3,149,,4,24,17
249,rock-smash,2,2,40,15,100,0,10,2,70,50,5,29,18
250,whirlpool,2,11,35,15,85,0,10,3,262,100,2,24,21
251,beat-up,2,17,,10,100,0,10,2,155,,4,14,7
252,fake-out,3,1,40,10,100,3,10,2,159,100,3,23,17
253,uproar,3,1,90,10,100,0,8,3,160,,3,21,10
254,stockpile,3,1,,20,,0,7,1,161,,5,16,11
255,spit-up,3,1,,10,100,0,10,3,162,,5,1,18
256,swallow,3,1,,10,,0,7,1,163,,5,32,8
257,heat-wave,3,10,95,10,90,0,11,3,5,10,2,1,17
258,hail,3,15,,10,,0,12,1,165,,2,5,13
259,torment,3,17,,15,100,0,10,1,166,,5,18,16
260,flatter,3,17,,15,100,0,10,1,167,,4,18,19
261,will-o-wisp,3,10,,15,85,0,10,1,168,,2,4,17
262,memento,3,17,,10,100,0,10,1,169,,5,7,9
263,facade,3,1,70,20,100,0,10,2,170,,3,28,15
264,focus-punch,3,2,150,20,100,-3,10,2,171,,5,31,6
265,smelling-salts,3,1,70,10,100,0,10,2,172,,4,9,16
266,follow-me,3,1,,20,,2,7,1,173,,3,24,14
267,nature-power,3,1,,20,,0,10,1,174,,2,11,14
268,charge,3,13,,20,,0,7,1,175,,4,12,11
269,taunt,3,17,,20,100,0,10,1,176,,4,18,16
270,helping-hand,3,1,,20,,5,3,1,177,,4,18,20
271,trick,3,14,,10,100,0,10,1,178,,4,12,12
272,role-play,3,14,,10,,0,10,1,179,,3,20,23
273,wish,3,1,,10,,0,7,1,180,,3,24,8
274,assist,3,1,,20,,0,7,1,181,,3,25,14
275,ingrain,3,12,,20,,0,7,1,182,,4,15,21
276,superpower,3,2,120,5,100,0,10,2,183,100,5,3,18
277,magic-coat,3,14,,15,,4,7,1,184,,2,15,15
278,recycle,3,1,,10,,0,7,1,185,,4,17,12
279,revenge,3,2,60,10,100,-4,10,2,186,,5,31,15
280,brick-break,3,2,75,15,100,0,10,2,187,,1,4,5
281,yawn,3,1,,10,,0,10,1,188,,3,18,19
282,knock-off,3,17,65,20,100,0,10,2,189,,4,4,5
283,endeavor,3,1,,5,100,0,10,2,190,,5,28,15
284,eruption,3,10,150,5,100,0,11,3,191,,2,26,18
285,skill-swap,3,14,,10,,0,10,1,192,,4,20,12
286,imprison,3,14,,10,,0,7,1,193,,4,33,20
287,refresh,3,1,,20,,0,7,1,194,,3,32,8
288,grudge,3,8,,5,,0,7,1,195,,5,26,10
289,snatch,3,17,,10,,4,7,1,196,,4,14,12
290,secret-power,3,1,70,20,100,0,10,2,198,30,4,29,14
291,dive,3,11,80,10,100,0,10,2,256,,2,16,6
292,arm-thrust,3,2,15,20,100,0,10,2,30,,5,10,7
293,camouflage,3,1,,20,,0,7,1,214,,4,2,13
294,tail-glow,3,7,,20,,0,7,1,322,,2,32,11
295,luster-purge,3,14,70,5,100,0,10,3,73,50,4,9,22
296,mist-ball,3,14,70,5,100,0,10,3,72,50,4,4,22
297,feather-dance,3,3,,15,100,0,10,1,59,,2,28,19
298,teeter-dance,3,1,,20,100,0,9,1,200,,3,6,14
299,blaze-kick,3,10,85,10,90,0,10,2,201,10,2,1,17
300,mud-sport,3,5,,15,,0,12,1,202,,3,1,13
301,ice-ball,3,15,30,20,90,0,10,2,118,,2,24,7
302,needle-arm,3,12,60,15,100,0,10,2,32,30,4,4,5
303,slack-off,3,1,,10,,0,7,1,33,,3,26,8
304,hyper-voice,3,1,90,10,100,0,11,3,1,,1,5,5
305,poison-fang,3,4,50,15,100,0,10,2,203,50,4,33,4
306,crush-claw,3,1,75,10,95,0,10,2,70,50,1,4,5
307,blast-burn,3,10,150,5,90,0,10,3,81,,2,6,22
308,hydro-cannon,3,11,150,5,90,0,10,3,81,,2,6,22
309,meteor-mash,3,9,90,10,90,0,10,2,140,20,1,12,18
310,astonish,3,8,30,15,100,0,10,2,32,30,4,9,5
311,weather-ball,3,1,50,10,100,0,10,3,204,,4,1,4
312,aromatherapy,3,12,,5,,0,13,1,103,,4,28,8
313,fake-tears,3,17,,20,100,0,10,1,63,,4,28,19
314,air-cutter,3,3,60,25,95,0,11,3,44,,1,23,5
315,overheat,3,10,130,5,90,0,10,3,205,100,2,3,22
316,odor-sleuth,3,1,,40,,0,10,1,114,,4,33,20
317,rock-tomb,3,6,60,15,95,0,10,2,71,100,4,24,2
318,silver-wind,3,7,60,5,100,0,10,3,141,10,2,32,4
319,metal-sound,3,9,,40,85,0,10,1,63,,4,5,10
