id,identifier,generation_id,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,contest_type_id,contest_effect_id,super_contest_effect_id
320,grass-whistle,3,12,,15,55,0,10,1,2,,4,5,19
321,tickle,3,1,,20,100,0,10,1,206,,3,33,19
322,cosmic-power,3,14,,20,,0,7,1,207,,1,32,11
323,water-spout,3,11,150,5,100,0,11,3,191,,2,26,22
324,signal-beam,3,7,75,15,100,0,10,3,77,10,2,21,4
325,shadow-punch,3,8,60,20,,0,10,2,18,,4,27,17
326,extrasensory,3,14,80,20,100,0,10,3,32,10,1,4,17
327,sky-uppercut,3,2,85,15,90,0,10,2,208,,1,23,17
328,sand-tomb,3,5,35,15,85,0,10,2,43,100,4,24,21
329,sheer-cold,3,15,,5,30,0,10,3,39,,2,14,9
330,muddy-water,3,11,90,10,85,0,11,3,74,30,5,10,18
331,bullet-seed,3,12,25,30,100,0,10,2,30,,1,14,7
332,aerial-ace,3,3,60,20,,0,10,2,18,,1,27,17
333,icicle-spear,3,15,25,30,100,0,10,2,30,,2,23,7
334,iron-defense,3,9,,15,,0,7,1,52,,5,15,13
335,block,3,1,,5,,0,10,1,107,,3,18,13
336,howl,3,1,,40,,0,7,1,11,,1,32,11
337,dragon-claw,3,16,80,15,100,0,10,2,1,,1,23,17
338,frenzy-plant,3,12,150,5,90,0,10,3,81,,1,6,22
339,bulk-up,3,2,,20,,0,7,1,209,,2,32,11
340,bounce,3,3,85,5,85,0,10,2,264,30,3,15,6
341,mud-shot,3,5,55,15,95,0,10,3,71,100,5,5,2
342,poison-tail,3,4,50,25,100,0,10,2,210,10,4,33,4
343,covet,3,1,60,25,100,0,10,2,106,,3,20,12
344,volt-tackle,3,13,120,15,100,0,10,2,263,10,1,3,22
345,magical-leaf,3,12,60,20,,0,10,3,18,,2,27,17
346,water-sport,3,11,,15,,0,12,1,211,,3,1,13
347,calm-mind,3,14,,20,,0,7,1,212,,4,16,11
348,leaf-blade,3,12,90,15,100,0,10,2,44,,1,2,17
349,dragon-dance,3,16,,20,,0,7,1,213,,1,32,11
350,rock-blast,3,6,25,10,90,0,10,2,30,,5,12,7
351,shock-wave,3,13,60,20,,0,10,3,18,,1,27,17
352,water-pulse,3,11,60,20,100,0,10,3,77,20,2,21,17
353,doom-desire,3,9,140,5,100,0,10,3,149,,1,24,17
354,psycho-boost,3,14,140,5,90,0,10,3,205,100,4,3,22
355,roost,4,3,,10,,0,7,1,215,,1,,8
356,gravity,4,14,,5,,0,12,1,216,,2,,13
357,miracle-eye,4,14,,40,,0,10,1,217,,3,,20
358,wake-up-slap,4,2,70,10,100,0,10,2,218,,4,,16
359,hammer-arm,4,2,100,10,90,0,10,2,219,100,1,,2
360,gyro-ball,4,9,,5,100,0,10,2,220,,2,,15
361,healing-wish,4,14,,10,,0,7,1,221,,3,,8
362,brine,4,11,65,10,100,0,10,3,222,,4,,4
363,natural-gift,4,1,,15,100,0,10,2,223,,1,,18
364,feint,4,1,30,10,100,2,10,2,224,,2,,16
365,pluck,4,3,60,20,100,0,10,2,225,,3,,12
366,tailwind,4,3,,15,,0,4,1,226,,4,,1
367,acupressure,4,1,,30,,0,5,1,227,,1,,11
368,metal-burst,4,9,,10,100,0,1,2,228,,2,,15
369,u-turn,4,7,70,20,100,0,10,2,229,,3,,16
370,close-combat,4,2,120,5,100,0,10,2,230,100,4,,22
371,payback,4,17,50,10,100,0,10,2,231,,1,,6
372,assurance,4,17,60,10,100,0,10,2,232,,2,,15
373,embargo,4,17,,15,100,0,10,1,233,,3,,13
374,fling,4,17,,10,100,0,10,2,234,,5,,23
375,psycho-shift,4,14,,10,100,0,10,1,235,,1,,16
376,trump-card,4,1,,5,,0,10,3,236,,1,,21
377,heal-block,4,14,,15,100,0,11,1,237,,3,,13
378,wring-out,4,1,,5,100,0,10,3,238,,4,,22
379,power-trick,4,14,,10,,0,7,1,239,,1,,16
380,gastro-acid,4,4,,10,100,0,10,1,240,,2,,13
381,lucky-chant,4,1,,30,,0,4,1,241,,3,,13
382,me-first,4,1,,20,,0,2,1,242,,3,,1
383,copycat,4,1,,20,,0,7,1,243,,1,,12
384,power-swap,4,14,,10,,0,10,1,244,,2,,16
385,guard-swap,4,14,,10,,0,10,1,245,,3,,16
386,punishment,4,17,,5,100,0,10,2,246,,4,,23
387,last-resort,4,1,140,5,100,0,10,2,247,,3,,21
388,worry-seed,4,12,,10,100,0,10,1,248,,2,,19
389,sucker-punch,4,17,80,5,100,1,10,2,249,,4,,1
390,toxic-spikes,4,4,,20,,0,6,1,250,,4,,13
391,heart-swap,4,14,,10,,0,10,1,251,,1,,16
392,aqua-ring,4,11,,20,,0,7,1,252,,2,,8
393,magnet-rise,4,13,,10,,0,7,1,253,,3,,13
394,flare-blitz,4,10,120,15,100,0,10,2,254,10,4,,22
395,force-palm,4,2,60,10,100,0,10,2,7,30,1,,18
396,aura-sphere,4,2,80,20,,0,10,3,18,,2,,17
397,rock-polish,4,6,,20,,0,7,1,53,,5,,1
398,poison-jab,4,4,80,20,100,0,10,2,3,30,4,,4
399,dark-pulse,4,17,80,15,100,0,10,3,32,20,1,,17
400,night-slash,4,17,70,15,100,0,10,2,44,,2,,5
401,aqua-tail,4,11,90,10,90,0,10,2,1,,3,,5
402,seed-bomb,4,12,80,15,100,0,10,2,1,,4,,5
403,air-slash,4,3,75,15,95,0,10,3,32,30,1,,17
404,x-scissor,4,7,80,15,100,0,10,2,1,,2,,17
405,bug-buzz,4,7,90,10,100,0,10,3,73,10,3,,4
406,dragon-pulse,4,16,85,10,100,0,10,3,1,,4,,4
407,dragon-rush,4,16,100,10,75,0,10,2,32,20,1,,18
408,power-gem,4,6,80,20,100,0,10,3,1,,2,,5
409,drain-punch,4,2,75,10,100,0,10,2,4,,2,,20
410,vacuum-wave,4,2,40,30,100,1,10,3,104,,4,,1
411,focus-blast,4,2,120,5,70,0,10,3,73,10,1,,17
412,energy-ball,4,12,90,10,100,0,10,3,73,10,2,,17
413,brave-bird,4,3,120,15,100,0,10,2,199,,3,,18
414,earth-power,4,5,90,10,100,0,10,3,73,10,4,,18
415,switcheroo,4,17,,10,100,0,10,1,178,,1,,12
416,giga-impact,4,1,150,5,90,0,10,2,81,,2,,22
417,nasty-plot,4,17,,20,,0,7,1,54,,3,,11
418,bullet-punch,4,9,40,30,100,1,10,2,104,,4,,1
419,avalanche,4,15,60,10,100,-4,10,2,186,,1,,15
420,ice-shard,4,15,40,30,100,1,10,2,104,,2,,1
421,shadow-claw,4,8,70,15,100,0,10,2,44,,3,,17
422,thunder-fang,4,13,65,15,95,0,10,2,276,10,4,,5
423,ice-fang,4,15,65,15,95,0,10,2,275,10,1,,5
424,fire-fang,4,10,65,15,95,0,10,2,274,10,2,,5
425,shadow-sneak,4,8,40,30,100,1,10,2,104,,4,,1
426,mud-bomb,4,5,65,10,85,0,10,3,74,30,4,,18
427,psycho-cut,4,14,70,20,100,0,10,2,44,,1,,17
428,zen-headbutt,4,14,80,15,90,0,10,2,32,20,2,,18
429,mirror-shot,4,9,65,10,85,0,10,3,74,30,3,,17
430,flash-cannon,4,9,80,10,100,0,10,3,73,10,4,,17
431,rock-climb,4,1,90,20,85,0,10,2,77,20,1,,18
432,defog,4,3,,15,,0,10,1,259,,2,,13
433,trick-room,4,14,,5,,-7,12,1,260,,3,,14
434,draco-meteor,4,16,130,5,90,0,10,3,205,100,4,,22
435,discharge,4,13,80,15,100,0,9,3,7,30,1,,17
436,lava-plume,4,10,80,15,100,0,9,3,5,30,5,,17
437,leaf-storm,4,12,130,5,90,0,10,3,205,100,3,,22
438,power-whip,4,12,120,10,85,0,10,2,1,,2,,5
439,rock-wrecker,4,6,150,5,90,0,10,2,81,,5,,22
440,cross-poison,4,4,70,20,100,0,10,2,210,10,1,,5
441,gunk-shot,4,4,120,5,80,0,10,2,3,30,1,,5
442,iron-head,4,9,80,15,100,0,10,2,32,30,5,,18
443,magnet-bomb,4,9,60,20,,0,10,2,18,,1,,5
444,stone-edge,4,6,100,5,80,0,10,2,44,,5,,4
445,captivate,4,1,,20,100,0,11,1,266,,2,,19
446,stealth-rock,4,6,,20,,0,6,1,267,,1,,13
447,grass-knot,4,12,,20,100,0,10,3,197,,4,,4
448,chatter,4,3,65,20,100,0,10,3,268,100,4,,23
449,judgment,4,1,100,10,100,0,10,3,269,,4,,14
450,bug-bite,4,7,60,20,100,0,10,2,225,,5,,12
451,charge-beam,4,13,50,10,90,0,10,3,277,70,2,,17
452,wood-hammer,4,12,120,15,100,0,10,2,199,,5,,18
453,aqua-jet,4,11,40,20,100,1,10,2,104,,2,,1
454,attack-order,4,7,90,15,100,0,10,2,44,,4,,4
455,defend-order,4,7,,10,,0,7,1,207,,4,,11
456,heal-order,4,7,,10,,0,7,1,33,,4,,8
457,head-smash,4,6,150,5,80,0,10,2,270,,5,,22
458,double-hit,4,1,35,10,90,0,10,2,45,,4,,7
459,roar-of-time,4,16,150,5,90,0,10,3,81,,1,,22
460,spacial-rend,4,16,100,5,95,0,10,3,44,,5,,4
461,lunar-dance,4,14,,10,,0,7,1,271,,2,,8
462,crush-grip,4,1,,5,100,0,10,2,238,,5,,15
463,magma-storm,4,10,100,5,75,0,10,3,43,100,5,,7
464,dark-void,4,17,,10,80,0,11,1,2,,4,,19
465,seed-flare,4,12,120,5,85,0,10,3,272,40,1,,22
466,ominous-wind,4,8,60,5,100,0,10,3,141,10,4,,11
467,shadow-force,4,8,120,5,100,0,10,2,273,,4,,22
468,hone-claws,5,17,,15,,0,7,1,278,,,,
469,wide-guard,5,6,,10,,3,4,1,279,,,,
470,guard-split,5,14,,10,,0,10,1,280,,,,
471,power-split,5,14,,10,,0,10,1,281,,,,
472,wonder-room,5,14,,10,,0,12,1,282,,,,
473,psyshock,5,14,80,10,100,0,10,3,283,,,,
474,venoshock,5,4,65,10,100,0,10,3,284,,,,
475,autotomize,5,9,,15,,0,7,1,285,,,,
476,rage-powder,5,7,,20,,2,7,1,173,,,,
477,telekinesis,5,14,,15,,0,10,1,286,,,,
478,magic-room,5,14,,10,,0,12,1,287,,,,
479,smack-down,5,6,50,15,100,0,10,2,288,100,,,
480,storm-throw,5,2,60,10,100,0,10,2,289,,,,
481,flame-burst,5,10,70,15,100,0,10,3,290,,,,
482,sludge-wave,5,4,95,10,100,0,9,3,3,10,,,
483,quiver-dance,5,7,,20,,0,7,1,291,,,,
484,heavy-slam,5,9,,10,100,0,10,2,292,,,,
485,synchronoise,5,14,120,10,100,0,9,3,293,,,,
486,electro-ball,5,13,,10,100,0,10,3,294,,,,
487,soak,5,11,,20,100,0,10,1,295,,,,
488,flame-charge,5,10,50,20,100,0,10,2,296,100,,,
489,coil,5,4,,20,,0,7,1,323,,,,
490,low-sweep,5,2,65,20,100,0,10,2,21,100,,,
491,acid-spray,5,4,40,20,100,0,10,3,297,100,,,
492,foul-play,5,17,95,15,100,0,10,2,298,,,,
493,simple-beam,5,1,,15,100,0,10,1,299,,,,
494,entrainment,5,1,,15,100,0,10,1,300,,,,
495,after-you,5,1,,15,,0,10,1,301,,,,
496,round,5,1,60,15,100,0,10,3,302,,,,
497,echoed-voice,5,1,40,15,100,0,10,3,303,,,,
498,chip-away,5,1,70,20,100,0,10,2,304,,,,
499,clear-smog,5,4,50,15,,0,10,3,305,,,,
500,stored-power,5,14,20,10,100,0,10,3,306,,,,
501,quick-guard,5,2,,15,,3,4,1,307,,,,
502,ally-switch,5,14,,15,,1,7,1,308,,,,
503,scald,5,11,80,15,100,0,10,3,5,30,,,
504,shell-smash,5,1,,15,,0,7,1,309,,,,
505,heal-pulse,5,14,,10,,0,10,1,310,,,,
506,hex,5,8,65,10,100,0,10,3,311,,,,
507,sky-drop,5,3,60,10,100,0,10,2,312,,,,
508,shift-gear,5,9,,10,,0,7,1,313,,,,
509,circle-throw,5,2,60,10,90,-6,10,2,314,,,,
510,incinerate,5,10,60,15,100,0,11,3,315,,,,
511,quash,5,17,,15,100,0,10,1,316,,,,
512,acrobatics,5,3,55,15,100,0,10,2,318,,,,
513,reflect-type,5,1,,15,,0,10,1,319,,,,
514,retaliate,5,1,70,5,100,0,10,2,320,,,,
515,final-gambit,5,2,,5,100,0,10,3,321,,,,
516,bestow,5,1,,15,,0,10,1,324,,,,
517,inferno,5,10,100,5,50,0,10,3,5,100,,,
518,water-pledge,5,11,80,10,100,0,10,3,325,,,,
519,fire-pledge,5,10,80,10,100,0,10,3,326,,,,
520,grass-pledge,5,12,80,10,100,0,10,3,327,,,,
521,volt-switch,5,13,70,20,100,0,10,3,229,,,,
522,struggle-bug,5,7,50,20,100,0,11,3,72,100,,,
523,bulldoze,5,5,60,20,100,0,9,2,71,100,,,
524,frost-breath,5,15,60,10,90,0,10,3,289,100,,,
525,dragon-tail,5,16,60,10,90,-6,10,2,314,,,,
526,work-up,5,1,,30,,0,7,1,328,,,,
527,electroweb,5,13,55,15,95,0,11,3,21,100,,,
528,wild-charge,5,13,90,15,100,0,10,2,49,,,,
529,drill-run,5,5,80,10,95,0,10,2,44,,,,
530,dual-chop,5,16,40,15,90,0,10,2,45,,,,
531,heart-stamp,5,14,60,25,100,0,10,2,32,30,,,
532,horn-leech,5,12,75,10,100,0,10,2,4,,,,
533,sacred-sword,5,2,90,15,100,0,10,2,304,,,,
534,razor-shell,5,11,75,10,95,0,10,2,70,50,,,
535,heat-crash,5,10,,10,100,0,10,2,292,,,,
536,leaf-tornado,5,12,65,10,90,0,10,3,74,50,,,
537,steamroller,5,7,65,20,100,0,10,2,151,30,,,
538,cotton-guard,5,12,,10,,0,7,1,329,,,,
539,night-daze,5,17,85,10,95,0,10,3,74,40,,,
540,psystrike,5,14,100,10,100,0,10,3,283,,,,
541,tail-slap,5,1,25,10,85,0,10,2,30,,,,
542,hurricane,5,3,110,10,70,0,10,3,338,30,,,
543,head-charge,5,1,120,15,100,0,10,2,49,,,,
544,gear-grind,5,9,50,15,85,0,10,2,45,,,,
545,searing-shot,5,10,100,5,100,0,9,3,5,30,,,
546,techno-blast,5,1,120,5,100,0,10,3,269,,,,
547,relic-song,5,1,75,10,100,0,11,3,330,10,,,
548,secret-sword,5,2,85,10,100,0,10,3,283,,,,
549,glaciate,5,15,65,10,95,0,11,3,331,100,,,
550,bolt-strike,5,13,130,5,85,0,10,2,7,20,,,
551,blue-flare,5,10,130,5,85,0,10,3,5,20,,,
552,fiery-dance,5,10,80,10,100,0,10,3,277,50,,,
553,freeze-shock,5,15,140,5,90,0,10,2,332,30,,,
554,ice-burn,5,15,140,5,90,0,10,3,333,30,,,
555,snarl,5,17,55,15,95,0,11,3,72,100,,,
556,icicle-crash,5,15,85,10,90,0,10,2,32,30,,,
557,v-create,5,10,180,5,95,0,10,2,335,100,,,
558,fusion-flare,5,10,100,5,100,0,10,3,336,,,,
559,fusion-bolt,5,13,100,5,100,0,10,2,337,,,,
560,flying-press,6,2,80,10,95,0,10,2,339,,,,
561,mat-block,6,2,,10,,0,4,1,340,,,,
562,belch,6,4,120,10,90,0,10,3,341,,,,
563,rototiller,6,5,,10,,0,14,1,342,100,,,
564,sticky-web,6,7,,20,,0,6,1,343,,,,
565,fell-stinger,6,7,30,25,100,0,10,2,344,,,,
566,phantom-force,6,8,90,10,100,0,10,2,273,,,,
567,trick-or-treat,6,8,,20,100,0,10,1,345,,,,
568,noble-roar,6,1,,30,100,0,10,1,346,100,,,
569,ion-deluge,6,13,,25,,1,12,1,347,,,,
570,parabolic-charge,6,13,50,20,100,0,9,3,348,,,,
571,forests-curse,6,12,,20,100,0,10,1,349,,,,
572,petal-blizzard,6,12,90,15,100,0,9,2,1,,,,
573,freeze-dry,6,15,70,20,100,0,10,3,350,10,,,
574,disarming-voice,6,18,40,15,,0,11,3,18,,,,
575,parting-shot,6,17,,20,100,0,10,1,351,100,,,
576,topsy-turvy,6,17,,20,,0,10,1,352,,,,
577,draining-kiss,6,18,50,10,100,0,10,3,353,,,,
578,crafty-shield,6,18,,10,,3,4,1,354,,,,
579,flower-shield,6,18,,10,,0,14,1,355,100,,,
580,grassy-terrain,6,12,,10,,0,12,1,356,,,,
581,misty-terrain,6,18,,10,,0,12,1,357,,,,
582,electrify,6,13,,20,,0,10,1,358,,,,
583,play-rough,6,18,90,10,90,0,10,2,69,10,,,
584,fairy-wind,6,18,40,30,100,0,10,3,1,,,,
585,moonblast,6,18,95,15,100,0,10,3,72,30,,,
586,boomburst,6,1,140,10,100,0,9,3,1,,,,
587,fairy-lock,6,18,,10,,0,12,1,359,,,,
588,kings-shield,6,9,,10,,4,7,1,360,,,,
589,play-nice,6,1,,20,,0,10,1,19,100,,,
590,confide,6,1,,20,,0,10,1,361,100,,,
591,diamond-storm,6,6,100,5,95,0,11,2,139,50,,,
592,steam-eruption,6,11,110,5,95,0,10,3,5,30,,,
593,hyperspace-hole,6,14,80,5,,0,10,3,10007,,,,
594,water-shuriken,6,11,15,20,100,1,10,2,30,,,,
595,mystical-fire,6,10,65,10,100,0,10,3,72,100,,,
596,spiky-shield,6,12,,10,,4,7,1,362,,,,
597,aromatic-mist,6,18,,20,,0,3,1,363,,,,
598,eerie-impulse,6,13,,15,100,0,10,1,369,,,,
599,venom-drench,6,4,,20,100,0,11,1,364,100,,,
600,powder,6,7,,20,100,1,10,1,365,,,,
601,geomancy,6,18,,10,,0,7,1,366,,,,
602,magnetic-flux,6,13,,20,,0,13,1,367,,,,
603,happy-hour,6,1,,30,,0,4,1,370,,,,
604,electric-terrain,6,13,,10,,0,12,1,368,,,,
605,dazzling-gleam,6,18,80,10,100,0,11,3,1,,,,
606,celebrate,6,1,,40,,0,7,1,10007,,,,
607,hold-hands,6,1,,40,,0,3,1,10007,,,,
608,baby-doll-eyes,6,18,,30,100,1,10,1,19,,,,
609,nuzzle,6,13,20,20,100,0,10,2,7,100,,,
610,hold-back,6,1,40,40,100,0,10,2,102,,,,
611,infestation,6,7,20,20,100,0,10,3,43,100,,,
612,power-up-punch,6,2,40,20,100,0,10,2,140,100,,,
613,oblivion-wing,6,3,80,10,100,0,10,3,353,,,,
614,thousand-arrows,6,5,90,10,100,0,11,2,10007,100,,,
615,thousand-waves,6,5,90,10,100,0,11,2,10007,,,,
616,lands-wrath,6,5,90,10,100,0,11,2,1,,,,
617,light-of-ruin,6,18,140,5,90,0,10,3,270,,,,
618,origin-pulse,6,11,110,10,85,0,11,3,1,,,,
619,precipice-blades,6,5,120,10,85,0,11,2,1,,,,
620,dragon-ascent,6,3,120,5,100,0,10,2,230,,,,
621,hyperspace-fury,6,17,100,5,,0,10,2,360,,,,
10001,shadow-rush,3,10002,55,,100,0,10,2,10001,,,,
10002,shadow-blast,3,10002,80,,100,0,10,2,44,,,,
10003,shadow-blitz,3,10002,40,,100,0,10,2,1,,,,
10004,shadow-bolt,3,10002,75,,100,0,10,3,7,10,,,
10005,shadow-break,3,10002,75,,100,0,10,2,1,,,,
10006,shadow-chill,3,10002,75,,100,0,10,3,6,10,,,
10007,shadow-end,3,10002,120,,60,0,10,2,10002,,,,
10008,shadow-fire,3,10002,75,,100,0,10,3,5,10,,,
10009,shadow-rave,3,10002,70,,100,0,6,3,1,,,,
10010,shadow-storm,3,10002,95,,100,0,6,3,1,,,,
10011,shadow-wave,3,10002,50,,100,0,6,3,1,,,,
10012,shadow-down,3,10002,,,100,0,6,1,60,,,,
10013,shadow-half,3,10002,,,100,0,12,3,10003,,,,
10014,shadow-hold,3,10002,,,,0,6,1,107,,,,
10015,shadow-mist,3,10002,,,100,0,6,1,10004,,,,
10016,shadow-panic,3,10002,,,90,0,6,1,50,,,,
10017,shadow-shed,3,10002,,,,0,12,1,10005,,,,
10018,shadow-sky,3,10002,,,,0,12,1,10006,,,,
